% Module: Scope, ID: c0p1t6p1cfm0
% Device: DEV4810
% Time: 2026/03/10 11:37:25
% 波形 通道1, /dev4810/scopes/0/wave.0
% 时间 (s); 波形 通道1  波形 (V)
-0.5352756; 0.49761813879
-0.5352073333333334; 0.497716605663
-0.5351390666666667; 0.497782230377
-0.5350708; 0.497847855091
-0.5350025333333334; 0.498011916876
-0.5349342666666667; 0.498011916876
-0.534866; 0.498110353947
-0.5347977333333334; 0.498208791018
-0.5347294666666667; 0.498274415731
-0.5346611999999999; 0.498405665159
-0.5345929333333334; 0.498405665159
-0.5345246666666666; 0.498471289873
-0.5344563999999999; 0.498668193817
-0.5343881333333333; 0.498668193817
-0.5343198666666666; 0.498766630888
-0.5342515999999999; 0.498832255602
-0.5341833333333333; 0.498930692673
-0.5341150666666666; 0.498930692673
-0.5340468; 0.499061942101
-0.5339785333333333; 0.499193191528
-0.5339102666666666; 0.499258816242
-0.533842; 0.499357283115
-0.5337737333333333; 0.499390095472
-0.5337054666666666; 0.499455720186
-0.5336372; 0.499586969614
-0.5335689333333333; 0.499685406685
-0.5335006666666666; 0.499751031399
-0.5334324; 0.499783843756
-0.5333641333333333; 0.499915093184
-0.5332958666666666; 0.49994790554
-0.5332276; 0.500046372414
-0.5331593333333333; 0.500210404396
-0.5330910666666666; 0.500210404396
-0.5330228; 0.500308871269
-0.5329545333333333; 0.500407278538
-0.5328862666666666; 0.500505745411
-0.532818; 0.50053858757
-0.5327497333333333; 0.500669836998
-0.5326814666666666; 0.500669836998
-0.5326132; 0.500801086426
-0.5325449333333333; 0.50086671114
-0.5324766666666667; 0.500997960567
-0.5324084; 0.501030743122
-0.5323401333333333; 0.501063585281
-0.5322718666666667; 0.501194834709
-0.5322036; 0.501293301582
-0.5321353333333333; 0.501358926296
-0.5320670666666667; 0.501457333565
-0.5319988; 0.501457333565
-0.5319305333333333; 0.501621425152
-0.5318622666666667; 0.50175267458
-0.531794; 0.501785457134
-0.5317257333333333; 0.501851081848
-0.5316574666666667; 0.501916706562
-0.5315892; 0.502015173435
-0.5315209333333333; 0.502048015594
-0.5314526666666667; 0.502146422863
-0.5313844; 0.502244889736
-0.5313161333333333; 0.502244889736
-0.5312478666666667; 0.502408921719
-0.5311796; 0.502540171146
-0.5311113333333333; 0.502540171146
-0.5310430666666667; 0.502671420574
-0.5309748; 0.502704262733
-0.5309065333333334; 0.502835512161
-0.5308382666666667; 0.502868354321
-0.53077; 0.502933979034
-0.5307017333333334; 0.503032386303
-0.5306334666666667; 0.503065228462
-0.5305652; 0.50319647789
-0.5304969333333334; 0.503229260445
-0.5304286666666667; 0.503294885159
-0.5303604; 0.503426134586
-0.5302921333333334; 0.5034917593
-0.5302238666666667; 0.50352460146
-0.5301555999999999; 0.503623068333
-0.5300873333333334; 0.503688693047
-0.5300190666666666; 0.50375431776
-0.5299507999999999; 0.503852725029
-0.5298825333333333; 0.503918349743
-0.5298142666666666; 0.504016816616
-0.5297459999999999; 0.50408244133
-0.5296777333333333; 0.504180848598
-0.5296094666666666; 0.504279315472
-0.5295411999999999; 0.504312098026
-0.5294729333333333; 0.504410564899
-0.5294046666666666; 0.504476189613
-0.5293364; 0.504574656487
-0.5292681333333333; 0.504607439041
-0.5291998666666666; 0.504673063755
-0.5291316; 0.504738688469
-0.5290633333333333; 0.504902780056
-0.5289950666666666; 0.50496840477
-0.5289268; 0.505034029484
-0.5288585333333333; 0.505066812038
-0.5287902666666666; 0.505099654198
-0.528722; 0.505230903625
-0.5286537333333333; 0.505394995213
-0.5285854666666666; 0.505427777767
-0.5285172; 0.505460619926
-0.5284489333333333; 0.505559027195
-0.5283806666666666; 0.505624651909
-0.5283124; 0.505723118782
-0.5282441333333333; 0.505788743496
-0.5281758666666666; 0.505952775478
-0.5281076; 0.505985617638
-0.5280393333333333; 0.506051242352
-0.5279710666666666; 0.506149709225
-0.5279028; 0.506215333939
-0.5278345333333333; 0.506346583366
-0.5277662666666667; 0.506346583366
-0.527698; 0.506444990635
-0.5276297333333333; 0.506477832794
-0.5275614666666667; 0.506609082222
-0.5274932; 0.506674706936
-0.5274249333333333; 0.506773114204
-0.5273566666666667; 0.506773114204
-0.5272884; 0.506904423237
-0.5272201333333333; 0.507002830505
-0.5271518666666667; 0.507002830505
-0.5270836; 0.507134079933
-0.5270153333333333; 0.507199704647
-0.5269470666666667; 0.507330954075
-0.5268788; 0.507363796234
-0.5268105333333333; 0.507495045662
-0.5267422666666667; 0.50762629509
-0.526674; 0.507659137249
-0.5266057333333334; 0.507691919804
-0.5265374666666667; 0.507823169231
-0.5264692; 0.507856011391
